,date_time,user_name,in_out,user_class
290,2023-07-22 15:00:01,화니-노비스,IN,노비스
291,2023-07-22 15:43:47,평생배우는기버 - 노비스,IN,노비스
292,2023-07-22 15:48:50,목표100억-노비스,IN,노비스
293,2023-07-22 15:59:13,대장과일,IN,Not defined
294,2023-07-22 16:03:55,디지털세계-노비스,IN,노비스
295,2023-07-22 16:07:36,bebeyond - 노비스,IN,노비스
296,2023-07-22 16:11:33,민쓰-노비스,IN,노비스
297,2023-07-22 16:23:51,엄지척-노비스,IN,노비스
298,2023-07-22 16:37:30,윤루카스 - 유니콘,IN,유니콘
299,2023-07-22 16:43:12,벤더라-노비스,IN,노비스
300,2023-07-22 16:43:57,바록드 - 노비스,IN,노비스
301,2023-07-22 16:45:28,MUNGA-노비스,IN,노비스
302,2023-07-22 17:39:26,정수르-노비스,IN,노비스
303,2023-07-22 17:44:56,다올-seo수강생,IN,수강생
304,2023-07-22 18:01:57,자이자-노비스,IN,노비스
305,2023-07-22 18:02:31,파이팅하는 무지,IN,Not defined
306,2023-07-22 19:18:57,3개국어-노비스,IN,노비스
307,2023-07-22 19:27:18,불타는단-seo수강생,IN,수강생
308,2023-07-22 19:46:28,껌딱지-노비스,IN,노비스
309,2023-07-22 20:23:13,러블리선-노비스,IN,노비스
310,2023-07-22 20:30:15,Lifegiver-노비스,IN,노비스
311,2023-07-22 20:49:31,suk,IN,Not defined
312,2023-07-22 21:07:59,써니-seo 수강생,IN,수강생
313,2023-07-22 21:29:36,프렌즈,IN,Not defined
314,2023-07-22 21:51:23,이준혁 - 노비스,IN,노비스
315,2023-07-22 21:58:22,오픈채팅봇,IN,Bot
316,2023-07-22 22:08:23,빛락 - 노비스,IN,노비스
317,2023-07-22 23:10:31,로알봇,IN,Bot
318,2023-07-22 23:44:07,지노 - 노비스,OUT,노비스
319,2023-07-23 00:17:11,주완-노비스,IN,노비스
320,2023-07-23 00:22:00,세계장악,IN,Not defined
321,2023-07-23 00:27:51,서여사님-노비스,IN,노비스
322,2023-07-23 01:30:15,브랜트 - 노비스,IN,노비스
323,2023-07-23 02:51:56,부끄러운 어피치,IN,Not defined
324,2023-07-23 03:47:50,요슬시계-노비스,IN,노비스
